v,f(v)
0,indeterminado
100000000000,1.0045135811624889780700355452352650912318428162878E-14
200000000000,4.0152982559356945249982176943871228843931494204379E-14
300000000000,9.0282227588618369935881202784205238537629351623138E-14
400000000000,1.6039159607963206426808498800842627613479596637088E-13
500000000000,2.5043985104733262156495301761140858280200248317182E-13
600000000000,3.6038579334124172272801344437704180394321314009253E-13
700000000000,4.9018826164530792995660344185318953276665984978006E-13
800000000000,6.3980613247771087988465131926308880741090419797611E-13
900000000000,8.0919832019062987663092799917931322087202639364955E-13
1000000000000,9.9832377696997688534342283237161335153302757290334E-13
1100000000000,1.2071414928350939269078236391420713359872842420498E-12
1200000000000,1.4356104956384148745794029444626535537716804010412E-12
1300000000000,1.6836898510650916533869312371318044864650697335925E-12
1400000000000,1.9513386626325848432465533527887520304411491536832E-12
1500000000000,2.2385160716902186868128753788097864818318326529945E-12
1600000000000,2.5451812574187005031838164277279410475238568203453E-12
1700000000000,2.8712934368296045086650818467615341557653948226691E-12
1800000000000,3.2168118647648200458894115462328817508808179970606E-12
1900000000000,3.5816958338959642226750487610631267297418551351164E-12
2000000000000,3.9659046747237589620971603291339361170207969258750E-12
2100000000000,4.3693977555773724653352191001399263891639798676158E-12
2200000000000,4.7921344826137250889486320006843743057316217225966E-12
2300000000000,5.2340742998167596383221631979038443208362265291955E-12
2400000000000,5.6951766889966760791119603469974822763425555662973E-12
2500000000000,6.1754011697891306686122426998828045638323727945622E-12
2600000000000,6.6747072996543995090519525150493848890901012869425E-12
2700000000000,7.1930546738765065249199053648334248994121708154674E-12
2800000000000,7.7304029255623158665062002081416610801596423678664E-12
2900000000000,8.2867117256405887419368661065199999994130887972737E-12
3000000000000,8.8619407828610046800679288318563664147120358122201E-12
3100000000000,9.4560498437931472266942769674546274788192526560157E-12
3200000000000,1.0068998692825454076617893063306075141411816674200E-11
3300000000000,1.0700747152164131644209190593770947504537568385378E-11
3400000000000,1.1351255081832034075184361504286538756213685559204E-11
3500000000000,1.2020482379667506702410791645932191864405423201222E-11
3600000000000,1.2708388981323193948641742005568772764179460286071E-11
3700000000000,1.3414934860264811679170621967769615539301735070461E-11
3800000000000,1.4140080027769884007484296515886935696409935912890E-11
3900000000000,1.4883784532926444557083971916447229844968725962441E-11
4000000000000,1.5646008462631702182731293656817839005127043743401E-11
4100000000000,1.6426711941590671154466365843995361128010088683079E-11
4200000000000,1.7225855132314765807833462545782115342310771553119E-11
4300000000000,1.8043398235120359663839248287975351325161949294581E-11
4400000000000,1.8879301488127309022257356736022491847779215369761E-11
4500000000000,1.9733525167257441031982193110515046568097722111727E-11
4600000000000,2.0606029586233006242223826736620470472924564490781E-11
4700000000000,2.1496775096575095638424824931899925009526983645709E-11
4800000000000,2.2405722087602022166868847818845986818537409695698E-11
4900000000000,2.3332830986427666752039775231916133941364155551187E-11
5000000000000,2.4278062257959788810879071297958914314773940724672E-11
5100000000000,2.5241376404898301268178009127961306400503303191900E-11
5200000000000,2.6222733967733510077430276991329156537244547787697E-11
5300000000000,2.7222095524744318251559367975901311455392268910419E-11
5400000000000,2.8239421691996394408024017092160445908079645269044E-11
5500000000000,2.9274673123340305832893792683324950572449592909875E-11
5600000000000,3.0327810510409616068575772478991325100309712531299E-11
5700000000000,3.1398794582618947029962038303671787391023422700784E-11
5800000000000,3.2487586107162005653856506947987821113309245239858E-11
5900000000000,3.3594145889009575086628377654614128023387574013899E-11
6000000000000,3.4718434770907470415128218688624692109345149912970E-11
6100000000000,3.5860413633374458945991436178110276976078495883601E-11
6200000000000,3.7020043394700145038542567451385000480512962851666E-11
6300000000000,3.8197285010942819496602518087484791777557284997178E-11
6400000000000,3.9392099475927273524589516462826800515752113538648E-11
6500000000000,4.0604447821242577253393191344830932624095764691670E-11
6600000000000,4.1834291116239822841589786679130176558785000041824E-11
6700000000000,4.3081590468029832157655112766987945380157838715761E-11
6800000000000,4.4346307021480829048920394160118457292725851327363E-11
6900000000000,4.5628401959216076203104711437840182640874286252867E-11
7000000000000,4.6927836501611476608346246203104710810654088303382E-11
7100000000000,4.8244571906793139617743025766310617409481591500832E-11
7200000000000,4.9578569470634911624502325705967419573000086793497E-11
7300000000000,5.0929790526755871353886324430410999107653588500598E-11
7400000000000,5.2298196446517789778230013642242903607370027257540E-11
7500000000000,5.3683748639022554661395751854489433467635010805507E-11
7600000000000,5.5086408551109559739117204452336214056672364268856E-11
7700000000000,5.6506137667353058541773742864542282179534928264144E-11
7800000000000,5.7942897510059482866224676832297568089236580024667E-11
